EmployerName,Position,RegularPay,TotalWages
"University of California, San Francisco",Postdoc-Employee,71638,71638
"University of California, Irvine",Vis Prof,8498,8498
"University of California, Santa Barbara",Teachg Asst-Gship,22720,22720
"University of California, Davis",Custodian,1174,1217
"University of California, Santa Cruz",Stdt 4,1043,1043
"University of California, Santa Barbara",Project Policy Anl 3,62440,71909
"University of California, Los Angeles",Nurse Pd,101358,110989
"University of California, Berkeley",Recall Faculty,66497,65864
"University of California, Berkeley",Sr Lect-Ay-Continuing,44794,47294
"University of California, Berkeley",Postdoc-Employee,20833,20833
"University of California, Los Angeles",Stdt 3,3623,3623
"University of California, Davis",Nurse Pd,93519,102023
"University of California, San Diego",Assoc Proj Scientist-Fy,89042,89042
"University of California, Santa Barbara",Admissions Evaluator 3,4484,4484
"University of California, Santa Cruz",Remd Tut I-Non Gship,2174,2174
"University of California, Los Angeles",Financial Aid Ofcr 2,50446,52590
"University of California, San Francisco",Clin Nurse 2,81740,97735
"University of California, Los Angeles",Stdt Acad Advisor 2,52016,52568
"University of California, San Diego",Alumni External Rel Spec 3,59448,60948
"University of California, Los Angeles",Blank Ast 3,50941,51591
"University of California, San Diego",Stdt 3,4206,4213
"University of California, Santa Barbara",Stdt 1,293,293
"University of California, Irvine",Lect-Miscellaneous/Part Time,0,400
"University of California, San Francisco",Health Profns Educ Mgr 1,142599,142599
"University of California, Santa Barbara",Stdt 1,882,882
"University of California, San Diego",Tut-Gship,1891,1891
"University of California, Irvine",Instructional Design Supv 2,91746,91746
"University of California, Los Angeles",Stdt Life Dev Spec 3,73370,73370
"University of California, Los Angeles",Contract Adm 4,104348,104348
"University of California, San Diego",Resid Phys II-Viii/Rep,39532,42882
"University of California, Davis",Miscellaneous,0,250
"University of California, San Diego",Tut-Gship,3147,3147
"University of California, Davis",Electr Tchn Prn,87088,87088
"University of California, Berkeley",Lab Ast 2,15992,19541
"University of California, San Francisco",Clin Nurse 2,160498,173320
"University of California, San Diego",Teachg Asst-Gship,5166,5166
"University of California, Los Angeles",Educ Tchl Spec 3,75545,93846
"University of California, Irvine",Teacher-Unex-Contract Yr,0,7740
"University of California, Davis",Stdt Acad Advisor 3,85064,85064
"University of California, San Francisco",Population Health Spec 4,2840,2840
"University of California, Santa Barbara",Teachg Asst-Gship,16927,16927
"University of California, San Francisco",Clin Nurse 2,68486,73604
"University of California, Los Angeles",Stdt 2,622,622
"University of California, San Francisco",Nurse Pract 2,198207,234121
"University of California, Los Angeles",Med Ast 3,9572,9572
"University of California, Santa Cruz",Stdt 4,2027,2027
"University of California, Santa Barbara",Assoc Prof-Ay,121008,121008
"University of California, Riverside",Teacher-Unex-Contract Yr,0,400
"University of California, Irvine",Project Policy Anl 2,59410,59410
"University of California, Berkeley",Stdt 2,4059,4059
"University of California, San Diego",Info Sys Anl 4,140017,140017
"University of California, San Francisco",Assoc Specialist,38310,42300
"University of California, San Francisco",Resid Phys I/Rep,30311,37024
"University of California, Irvine",Stdt 4,3889,3889
"University of California, Santa Barbara",Custodian Sr,54517,57415
"University of California, Los Angeles",Fac Worker,15969,26213
"University of California, Los Angeles",Blank Ast 3,11202,11202
"University of California, San Francisco",Stdt Intern,7200,8000
"University of California, Davis",Med Ofc Svc Crd 3,32793,32837
"University of California, Berkeley",Gsr-Full Fee Rem,36945,36945
"University of California, Davis",Project Policy Anl 1,60709,62524
"University of California, Santa Cruz",Agricultural Tchn Prn,54071,55571
"University of California, San Francisco",Admin Mgr 1,118153,119153
"University of California, Davis",Financial Anl 4,86395,86395
"University of California, Los Angeles",Admin Care Clin Partner,47108,56987
"University of California, Irvine",Stdt 4,4424,4430
"University of California, Irvine",Postdoc-Employee,21279,21279
"University of California, Berkeley",Project Policy Anl 3,30279,30279
"University of California, San Francisco",Organizational Cnslt 4,137740,144491
"University of California, Los Angeles",IT ArchITect 4,136427,154377
"University of California, Los Angeles",Admin Nurse 1,122749,132627
"University of California, Davis",Teachg Asst-Gship,19364,23266
"University of California, San Diego",Cmptl And Data Sci Rsch Spec 4,96298,96298
"University of California, San Francisco",Recr Prg Instr 2,0,1574
"University of California, Berkeley",Gsr-Tuit & Fee Rem,21820,21820
"University of California, Los Angeles",Publ Admstn Anl,78838,79473
"University of California, Berkeley",Custodian Sr,46649,48139
"University of California, Berkeley",Rsch Adm 4,88782,90458
"University of California, Los Angeles",Adv Ofcr 2,27273,28794
"University of California, Davis",HS Assoc Clin Prof-Hcomp,147533,409394
"University of California, Irvine",Financial Aid Ofcr 3,55224,55224
"University of California, Berkeley",Tut-Gship,1321,1321
"University of California, Irvine",Resid Phys II-Viii/Rep,64157,71574
"University of California, Santa Barbara",Baker,50167,51667
"University of California, Santa Barbara",Gsr-Tuit & Fee Rem,5179,5179
"University of California, San Diego",Blank Ast 3,3917,7072
"University of California, Santa Barbara",Stdt 1,1250,1250
"University of California, Los Angeles",Clin Nurse 2,125262,130889
"University of California, Irvine",Postdoc-Employee,53847,53847
"University of California, Santa Cruz",Ethics And Cmplnc Mgr 2,108792,117925
"University of California, Irvine",Custodian,42347,44597
"University of California, Berkeley",Postdoc-Employee,54002,54002
"University of California, San Diego",Assoc In __ -Ay-1/9-Gship,26397,26397
"University of California, Riverside",Tchl Project Mgt Profl 3,60194,62038
"University of California, San Francisco",Clin Nurse 2,177955,221965
"University of California, Los Angeles",Prof In Res-Hcomp,106452,157090
"University of California, Davis",Lab Helper,6652,6681
"University of California, Davis",Financial Anl 2,21475,21475
"University of California, San Francisco",Nurse Pd,147681,196788
"University of California, Riverside",Stdt 1,225,229
"University of California, San Francisco",Nurse Pract 2,185596,187501
"University of California, San Francisco",Vis Prof,40180,40180
"University of California, Riverside",Stdt 1,6397,6397
"University of California, Irvine",Stdt 4,490,495
"University of California, San Diego",Asc Physcn,66632,104357
"University of California, San Francisco",Project Policy Anl 3,96192,96192
"University of California, Los Angeles",HS Clin Instr-Hcomp,40200,73405
"University of California, San Diego",Acad Achievement Cnslr 3,78609,80609
"University of California, Los Angeles",Police Sergeant,111602,169809
"University of California, San Diego",Admin Nurse 1,129108,132086
"University of California, Berkeley",Teachg Asst-1/10-Gship,16329,16329
"University of California, San Diego",Teachg Asst-Gship,25694,25694
"University of California, Los Angeles",Stf Pharmacist 1 Nex,163895,164464
"University of California, San Diego",Teachg Asst-Gship,28911,28911
"University of California, Los Angeles",Voc Nurse Sr,82784,110631
"University of California, Irvine",Resid Phys II-Viii/Rep,66453,73870
"University of California, Santa Cruz",Tchn,10368,11110
"University of California, Davis",Custodian,38934,42166
"University of California, Berkeley",Digital Comm Mgr 1,165341,165841
"University of California, Los Angeles",Health Info Coder 4,110149,111457
"University of California, Los Angeles",Clin Nurse 3,107890,110714
"University of California, San Diego",Pharmacist 2 Pd,27174,27304
"University of California, Berkeley",Teachg Asst-1/10-Gship,9286,9286
"University of California, Los Angeles",Head Coach 5,300000,644442
"University of California, Los Angeles",Lab Ast 2,5617,5617
"University of California, Berkeley",Events Spec 1,5579,7720
"University of California, Los Angeles",Prof-Ay-B/E/E,196019,300183
"University of California, San Francisco",Blank Ast 3,67110,68579
"University of California, Los Angeles",Assoc Prof In Res-Hcomp,125063,426290
"University of California, San Francisco",Clin Nurse 2,163021,204876
"University of California, Los Angeles",Lect-Ay-Continuing,83826,94826
"University of California, San Francisco",Pat Care Ast,35241,39656
"University of California, Berkeley",Stdt 3,9674,9674
"University of California, San Francisco",Resid Phys II-Viii/Rep,66453,81429
"University of California, Berkeley",Teacher-Unex,0,1000
"University of California, Los Angeles",Prg Repr 1,730,730
"University of California, San Diego",Stdt Svc Advisor 1,48502,54202
"University of California, Davis",Pharmacy Tchn 2,27858,32454
"University of California, Davis",Stdt 4,7201,7201
"University of California, San Francisco",Prof In Res-Hcomp,157975,204121
"University of California, Los Angeles",Recr Prg Instr,1625,1780
"University of California, San Francisco",Health Educator 2,11582,15934
"University of California, Berkeley",Lab Instruction Supv 1,58729,58729
"University of California, Riverside",Stdt 1,357,357
"University of California, Berkeley",Fld Wk Supv-Fy,72531,72531
"University of California, Riverside",Hs Asst Clin Prof-Hcomp,96480,206253
"University of California, Los Angeles",Teacher-Unex-Contract Yr,0,21354
"University of California, Los Angeles",Clin Nurse 2,100511,113759
"University of California, Santa Barbara",Data Sys Anl 4,101951,101951
"University of California, San Diego",HS Clin Prof-Hcomp,31538,50513
"University of California, Davis",Stdt 2,1155,1155
"University of California, Davis",Asst Prof Of Clin-Hcomp,134767,391000
"University of California, Los Angeles",Assoc Prof-Ay,134467,179067
"University of California, Merced",Stdt 1,304,304
"University of California, Irvine",Digital Comm Spec 3,53329,53329
"University of California, Davis",HS Assoc Clin Prof-Hcomp,172608,415120
"University of California, San Francisco",Clin Rsch Crd,55861,61364
"University of California, Davis",Adj Prof-Ay,10534,10534
"University of California, Los Angeles",Info Sys Mgr 1,126946,128206
"University of California, Irvine",Admin Ofcr 3,82557,82557
"University of California, Irvine",Applications Progr 2,68415,68415
"University of California, Los Angeles",Pat Specialty Svc Tchn,74474,87469
"University of California, Los Angeles",Teachg Fellow-Gship,27818,27818
"University of California, Davis",Postdoc-Employee,29304,29304
"University of California, Riverside",Teachg Asst-Gship,22720,26311
"University of California, Berkeley",Lab Ast 3,47174,47174
"University of California, Berkeley",Prof-Ay-B/E/E,212100,284617
"University of California, Riverside",Postdoc-Employee,32136,32136
"University of California, Berkeley",Recall Teaching,3428,3428
"University of California, Berkeley",Stdt Svc Advisor 3,74061,77649
"University of California, Riverside",Marketing Spec 3,64664,66331
"University of California, San Diego",Reader-Gship,1517,1517
"University of California, Berkeley",Reader-Gship,3376,3376
"University of California, San Francisco",Ops Room Supp Ast,71450,77451
"University of California, Los Angeles",Gsr-Partial Fee Rem,2525,2525
"University of California, Los Angeles",Prof-Hcomp,115165,475724
"University of California, San Diego",Blank Ast 2,16458,17043
"University of California, Irvine",Clin Nurse 2,60813,67640
"University of California, San Diego",Postdoc-Employee,32431,32431
"University of California, Los Angeles",Gsr-Partial Fee Rem,17515,17515
"University of California, San Francisco",Clin Nurse 2,155716,190300
"University of California, San Diego",Procurement Mgr 4,281732,286732
"University of California, Irvine",Teachg Asst-Gship,22720,22720
"University of California, Berkeley",Americorp Member,0,6000
"University of California, San Francisco",Employment Repr 4,135466,141405
"University of California, Berkeley",Recall Teaching,14400,14400
"University of California, San Francisco",Practice Crd 3,10836,10836
"University of California, Los Angeles",Clin Nurse 1,11266,11670
"University of California, Los Angeles",Progr Anl 3,99294,99294
"University of California, Berkeley",Teachg Asst-1/10-Gship,15288,15288
"University of California, Berkeley",Teachg Asst-1/10-Gship,10312,10312
"University of California, Irvine",Stdt 4 Wksty,551,2551
"University of California, Los Angeles",Cmty Educ Spec 2,25117,27657
"University of California, Los Angeles",Gsr-Partial Fee Rem,2739,2739
"University of California, San Diego",Lab Ast 2,19361,23218
"University of California, Berkeley",Fundraiser 5,202502,202502
"University of California, San Diego",Resid Phys II-Viii/Rep,61557,67557
"University of California, San Diego",Custodial Supv 1,58728,62028
"University of California, Los Angeles",Prof In Res-Hcomp,102117,226940
"University of California, Davis",Prof-Hcomp,160342,160354
"University of California, Davis",Case Mgr Nex,151541,157817
"University of California, Riverside",Tut-Non Gship,991,991
"University of California, Los Angeles",Reader-Gship,330,330
"University of California, Davis",Electrn,68396,68396
"University of California, Riverside",Stdt Aid Outside Agency,369,369
"University of California, San Diego",HR Generalist 2,61199,62199
"University of California, San Francisco",Dietitian 2,103492,103492
"University of California, Berkeley",Teachg Asst-1/10-Gship,12088,12088
"University of California, San Francisco",Hosp Blank Ast 2,64689,66798
"University of California, Los Angeles",Admin Anl Prn 2,109037,126797
"University of California, Davis",Asst Prof-Ay,114050,152761
"University of California, Santa Cruz",Stdt 4,11096,11096
"University of California, San Diego",Stdt 4,34,34
"University of California, San Diego",Teacher-Unex-Contract Yr,0,1200
"University of California, San Diego",Postdoc-Employee,46671,46671
"University of California, San Francisco",Reg Resp Ther 1,99177,116371
"University of California, Santa Cruz",Stdt 4,9941,9941
"University of California, Merced",Stdt Life Devt Supv 2,68852,68852
"University of California, Riverside",Lect-Ay-1/9,6327,6327
"University of California, Santa Cruz",Remd Tut I-Non Gship,8156,8156
"University of California, Davis",Voc Nurse Pd,62052,62705
"University of California, Berkeley",Teachg Asst-1/10-Gship,17285,17285
"University of California, Santa Cruz",Admin Ofcr 3,66697,67097
"University of California, Los Angeles",Acad Prg Mgt Ofcr 3,15128,15128
"University of California, Berkeley",Stdt 2,1061,1061
"University of California, Los Angeles",Asst Res-Fy,77942,77942
"University of California, Berkeley",Adj Prof-Ay,30100,30100
"University of California, Los Angeles",Sr Lect-Ay-Continuing,134418,165659
"University of California, San Diego",Teacher-Unex-Contract Yr,0,8395
"University of California, San Diego",SRA 2 Nex,49260,49661
"University of California, San Francisco",Clin Nurse 3,120835,121661
"University of California, Berkeley",Blank Ast 3,30053,30053
"University of California, San Francisco",Procurement Anl 3,90470,94949
"University of California, San Diego",Teacher-Unex-Contract Yr,0,12833
"University of California, Irvine",Clin Applications Profl 4,129591,139614
"University of California, Berkeley",Postdoc-Employee,5869,5869
"University of California, Santa Barbara",Stdt Rsdnc Halls,0,675
"University of California, Los Angeles",Postdoc-Fellow,0,32917
"University of California, Berkeley",Stdt 2,2254,2254
"University of California, Irvine",Asst Specialist,54842,54842
"University of California, Berkeley",Teachg Asst-1/10-Non Gship,9120,9120
"University of California, Los Angeles",Postdoc-Employee,9916,9916
"University of California, Los Angeles",Stdt 3,294,294
"University of California, Davis",Agriculture Supv 1,32000,32000
"University of California, San Diego",Rsch And Dev Engr 2,63731,93711
"University of California, Davis",Stdt 4,254,254
"University of California, San Diego",Hosp Blank Ast 3,35181,41715
"University of California, Davis",Jr Specialist,22882,22882
"University of California, San Diego",Clin Social Worker 2,80669,81147
"University of California, Berkeley",Proj Scientist-Fy,87934,87934
"University of California, Davis",Stdt 2,1484,1484
"University of California, Berkeley",Gsr-Full Fee Rem,3723,3723
"University of California, Berkeley",Teachg Asst-1/10-Non Gship,0,5974
"University of California, San Francisco",Clin Rsch Crd,65723,65723
"University of California, San Francisco",Resp Ther 2,130398,173372
"University of California, San Francisco",Clin Nurse 2,175912,254592
"University of California, Santa Barbara",Prof-Ay,222383,222383
"University of California, Davis",Nurse Pd,60050,65544
"University of California, San Diego",Food Svc Worker,33627,36802
"University of California, San Francisco",Financial Anl Mgr 1,158889,158889
"University of California, Davis",Gsr-Full Fee Rem,23884,24084
"University of California, Santa Barbara",Stdt 1,2519,2519
"University of California, Santa Cruz",Stdt 4,1775,1775
"University of California, Santa Cruz",Stdt 4,2955,3405
"University of California, Davis",Postdoc-Employee,29002,29002
"University of California, Merced",Stdt 1,1544,1544
"University of California, Davis",Nurse Pract 2,64918,71360
"University of California, Los Angeles",Stdt 3,914,914
"University of California, Los Angeles",Reader-Gship,1048,1048
"University of California, San Diego",Ultrasound Tchno Prn,125807,148815
"University of California, Davis",Med Ast 2,4425,4425
"University of California, Davis",Clin Rsch Crd,58209,59000
"University of California, Los Angeles",Food Svc Worker Sr,38562,44442
"University of California, Irvine",Resid Phys II-Viii/Rep,69069,76486
"University of California, Berkeley",Rsch Adm 3,10714,10714
"University of California, Davis",K To 14 Acad Prep Spec 2,0,128
"University of California, San Francisco",Practice Crd 3,36570,36800
"University of California, San Diego",Clin Nurse 2,136360,138598
"University of California, Berkeley",Stdt 2,1477,1477
"University of California, Santa Cruz",Teachg Asst-Gship,22720,22720
"University of California, Los Angeles",Teachg Asst-Gship,24010,24010
"University of California, San Diego",Asst Proj Scientist-Fy,64183,64183
"University of California, Davis",Prof-Ay,206633,226555
"University of California, Los Angeles",Reader-Gship,853,853
"University of California, Davis",Tchn Sr,52724,53018
"University of California, Los Angeles",Pat Comm Repr,51965,54435
"University of California, San Francisco",Ambul Care Admstn Crd 2,71699,75249
"University of California, San Francisco",HS Clin Prof-Hcomp,264800,333313
"University of California, Los Angeles",Teachg Fellow-Gship,25317,25317
"University of California, Davis",Clin Lab Supv 2,126563,127610
"University of California, Berkeley",HR Supv 2,122823,122823
"University of California, San Diego",SRA 4,94174,94174
"University of California, Davis",Resid Phys/Subspec 4-8/Non Rep,72710,81712
"University of California, San Francisco",Blank Ast 3,56013,56973
"University of California, Davis",Clin Nurse 2,115019,130672
"University of California, Santa Barbara",Lect-Ay-Continuing,69877,69877
"University of California, Los Angeles",Clin Nurse 2,101102,117444
"University of California, San Diego",Teachg Asst-Gship,20953,20953
"University of California, Los Angeles",Blank Ast 3,47469,48240
"University of California, Riverside",Lab Helper,14795,15301
"University of California, Davis",Assoc Specialist,67083,67083
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp F,31547,33257
"University of California, Los Angeles",Cmty Health Prg Repr Sr Pd,16076,16076
"University of California, Los Angeles",Stdt 1,2811,2811
"University of California, Berkeley",Stdt 2,1506,1506
"University of California, San Diego",Stdt 4,5017,5017
"University of California, Berkeley",Lect-Ay,42050,42050
"University of California, Davis",Clin Nurse 2,135259,156876
"University of California, San Diego",Academic Coord II-Fy,87994,87994
"University of California, Los Angeles",Stdt 2,271,271
"University of California, San Francisco",HS Asst Clin Prof-Hcomp,107053,117615
"University of California, San Francisco",Project Policy Anl 1,20549,20549
"University of California, Los Angeles",Rsch Adm 2,63856,63856
"University of California, San Francisco",SRA 1,21839,21932
"University of California, Berkeley",Teacher-Spec Prog,5600,5600
"University of California, Los Angeles",Resc Nurse Pd,100138,112975
"University of California, San Diego",Stdt 2,5538,5588
"University of California, San Diego",Elected Ofcr Stdt Govt,0,1125
"University of California, San Francisco",Med Interpreter 2,40589,42217
"University of California, Los Angeles",Lect-Ay-Continuing,40748,47710
"University of California, San Francisco",Pharmacy Tchn 2,58949,62413
"University of California, Davis",Blank Ast 2,43527,43863
"University of California, Berkeley",Tut-Non Gship,1051,1051
"University of California, San Diego",Clin Nurse 2,137438,149928
"University of California, Riverside",Teachg Asst-Gship,10031,10031
"University of California, Los Angeles",Optometrist Ex,14833,17333
"University of California, Berkeley",Rsch And Dev Engr 5,152802,152802
"University of California, Riverside",Early Childhood Educ Supv 2,69511,71011
"University of California, San Francisco",Postdoc-Employee,22725,22725
"University of California, Berkeley",Sys Adm 4,106711,108211
"University of California, Berkeley",Lect-Miscellaneous/Part Time,0,500
"University of California, San Francisco",Prof In Res-Hcomp,233356,613441
"University of California, Irvine",Hosp Blank Ast 1,26509,27558
"University of California, Los Angeles",Ophthalmic Tchn 2,7112,7125
"University of California, Davis",Lab Ast 3,31946,32887
"University of California, Davis",Skld Crafts Trades Supv 2,105336,106487
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,23517,28952
"University of California, Davis",Field Rsch Supv 2,46517,46517
"University of California, San Francisco",Project Policy Anl 1,9197,9197
"University of California, San Francisco",Clin Nurse 2,155126,188728
"University of California, Los Angeles",Events Spec 3,59451,60951
"University of California, San Francisco",Clin Lab Supv 2,98337,135315
"University of California, Davis",Stdt 2,14,14
"University of California, Los Angeles",Plumber,3506,3626
"University of California, Santa Barbara",Stdt Acad Advisor 2,55930,55930
"University of California, Davis",Photographer Sr,66592,66592
"University of California, Irvine",Teachg Asst-Gship,4947,4947
"University of California, Los Angeles",Admin Care Clin Partner Pd,15214,15763
"University of California, Riverside",Gsr-Partial Fee Rem,27741,27741
"University of California, Los Angeles",Gsr-Partial Fee Rem,6750,6750
"University of California, Irvine",Lect-Ay-1/9-Continuing,14454,14454
"University of California, San Diego",Resid Phys/Subspec 4-8/Rep,47349,72268
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,40750,42250
"University of California, Irvine",Proj Scientist-Fy,105562,105562
"University of California, San Francisco",SRA 2,63027,63027
"University of California, Santa Cruz",Exec Advisor 4,139995,201695
"University of California, Los Angeles",Acad HR Anl 3,78982,84245
"University of California, Davis",Gsr-Full Fee Rem,4208,4208
"University of California, San Francisco",Resid Phys/Subspec 4-8/Rep,42348,51254
"University of California, San Francisco",Stdt Aid Outside Agency,810,810
"University of California, Los Angeles",Blank Ast 2,21392,24388
"University of California, Santa Barbara",Stdt 1,499,499
"University of California, Davis",Parking Repr Ld,24658,25440
"University of California, San Diego",HS Clin Prof-Hcomp,349582,431200
"University of California, San Diego",Nurse Pd,44826,45573
"University of California, Los Angeles",Blank Ast 3,52128,52878
"University of California, Santa Cruz",Institutional Rsch Anl 3,16727,16727
"University of California, Santa Cruz",Food Svc Supv 1,55321,55671
"University of California, Davis",Postdoc-Employee,17820,25899
"University of California, Berkeley",Teachg Asst-1/10-Non Gship,0,10621
"University of California, Irvine",Teachg Asst-Gship,31630,31630
"University of California, Berkeley",Stdt 2,2520,2520
"University of California, Irvine",Financial Aid Mgr 2,119223,120723
"University of California, San Diego",SRA 4,98867,98867
"University of California, Riverside",Assoc Adj Prof-Fy,117283,117283
"University of California, San Francisco",Nurse Anesthetist Mgr 1,106941,166389
"University of California, San Francisco",Nurse Pract 3,222256,223827
"University of California, San Diego",Clin Informatics Spec 3,52943,55440
"University of California, Los Angeles",HS Assoc Clin Prof-Hcomp,124933,461197
"University of California, Berkeley",Vis Asst Prof,40000,40000
"University of California, Los Angeles",Academic Administrator Vii,148234,148234
"University of California, San Diego",Assoc Proj Scientist-Fy,57977,57977
"University of California, Riverside",Stdt 1,10308,10987
"University of California, Davis",Spc Stdt Bya,0,1106
"University of California, Merced",Stdt 2,2058,2058
"University of California, San Francisco",Clin Lab Sci,88610,100073
"University of California, Irvine",Stdt 4,98,98
"University of California, San Francisco",Clin Social Worker 3,128281,129481
"University of California, San Francisco",Rsch Data Anl 4,154018,155018
"University of California, Davis",Stdt 2,616,616
"University of California, San Francisco",Radlg Tchno Sr,90680,92253
"University of California, Davis",Prof-Ay,145458,166258
"University of California, Los Angeles",Clin Nurse 2,104376,107832
"University of California, Davis",Resid Phys II-Viii/Non Rep,68336,78951
"University of California, San Diego",Gsr-No Rem,16881,16881
"University of California, San Diego",Lect In Summer Session,0,5085
"University of California, Los Angeles",Pat Comm Repr,52336,52336
"University of California, Berkeley",Applications Progr 4,5005,5005
"University of California, San Diego",Phys Ther Pd,7518,7518
"University of California, San Diego",Av IT Engr 3,63990,64990
"University of California, Los Angeles",HS Assoc Clin Prof-Hcomp,145574,318620
"University of California, San Francisco",Food Svc HC Supv 1,75334,77761
"University of California, Davis",Pharmacist Sr Ex,191397,191397
"University of California, San Diego",Radlg Tchno Sr,81329,86630
"University of California, Los Angeles",Special Reader-Ucla-Gship,8072,10572
"University of California, San Diego",Stdt 3,1377,1377
"University of California, San Francisco",Blank Ast 1,21496,22252
"University of California, Los Angeles",Publ Admstn Anl Ast,7215,7223
"University of California, San Diego",Stdt Life Devt Supv 2,23204,43940
"University of California, San Francisco",Stdt Intern Pd,35109,35109
"University of California, Irvine",Resid Phys II-Viii/Rep,45382,49665
"University of California, Irvine",Prof-Ay-Law,479483,532494
"University of California, San Diego",HS Assoc Clin Prof-Hcomp,124933,347224
"University of California, Berkeley",Acad Achievement Cnslr 5,106920,109454
"University of California, San Diego",Med Ctr Custodian Sr,9750,17931
"University of California, Los Angeles",Asst Adj Prof-Ay,31158,31158
"University of California, San Diego",Customer Svc Supv 2,73518,86184
"University of California, Los Angeles",Asc Physcn Diplomate,151870,376023
"University of California, Davis",Applications Progr 3,78469,78469
"University of California, Davis",Teachg Asst-Gship,22720,26823
"University of California, Los Angeles",HS Clin Instr-Hcomp,38500,64167
"University of California, Davis",Stdt 2,2891,2891
"University of California, Davis",Agriculture Supv 1,67083,67083
"University of California, Santa Cruz",Stdt 4,938,938
"University of California, San Diego",Custodian Sr,46180,49047
"University of California, Santa Cruz",Career Svc Supv 2,50423,71842
"University of California, San Francisco",Cmptl And Data Sci Rsch Spec 4,31063,52453
"University of California, San Diego",Stdt 3,14455,14457
"University of California, San Diego",Data Sys Mgr 1,151668,155668
"University of California, Los Angeles",Blank Ast 2,2689,2689
"University of California, Riverside",Child Dev Ctr Teacher 2,53180,53363
"University of California, San Diego",Speech Pathologist Pd,12825,13506
"University of California, Santa Barbara",Stdt 1,4848,4807
"University of California, Davis",Resid-Vet Med/Non Rep,15377,15377
"University of California, Irvine",Med Ast,41175,43355
"University of California, Santa Barbara",Assoc Specialist Nex,4017,4320
"University of California, San Diego",Info Sys Anl 4,120656,121156
"University of California, Berkeley",Assoc Librarian-Potntl Career,81123,81123
"University of California, San Francisco",Clin Rsch Crd,51913,55356
"University of California, Los Angeles",Clin Nurse 2,157051,199627
"University of California, San Francisco",Resid Phys I/Rep,28711,35274
"University of California, Berkeley",Teachg Asst-1/10-Non Gship,5351,5351
"University of California, Davis",Field Researcher 2,22812,25272
"University of California, Los Angeles",Coll Repr,61702,88524
"University of California, Davis",Postdoc-Employee,84500,84500
"University of California, Los Angeles",Pat Biller 3,62287,63817
"University of California, Los Angeles",Social Work Asc Ast,54909,54936
"University of California, Santa Cruz",Assoc Librarian-Potntl Career,92062,92062
"University of California, Santa Cruz",Lect-Ay-1/9,15610,22593
"University of California, San Francisco",Clin Nurse 2,95931,100481
"University of California, San Diego",Nurse Pd,12011,12193
"University of California, San Diego",Asc Physcn,100520,237888
"University of California, San Diego",HS Clin Prof-Hcomp,261717,1280000
"University of California, Los Angeles",Asst Res-Fy,55115,64318
"University of California, Santa Cruz",Teachg Asst-Gship,22716,22716
"University of California, Irvine",Prof-Ay,172250,185084
"University of California, Irvine",Stdt 4,73,73
"University of California, Los Angeles",Financial Anl 3,87869,88719
"University of California, Riverside",Stdt Activities Appt Official,0,650
"University of California, San Diego",Bus Tchl Supp Anl 2 Tx,63470,67852
"University of California, Irvine",Med Ctr Custodian Sr,44879,59928
"University of California, San Francisco",Admin Ofcr 2,78338,86484
"University of California, Davis",Prof-Ay,182492,220382
"University of California, Riverside",Theater Prod Spec 3,74618,74618
"University of California, San Diego",Asst Adj Prof-Hcomp,76540,82273
"University of California, Los Angeles",Clin Nurse 2,99035,110564
"University of California, Santa Barbara",Teachg Asst-Gship,15046,15046
"University of California, Berkeley",Assoc In __ -Ay-1/10-Gship,20364,20364
"University of California, Davis",Pat Rcds Abstractor 3,79681,89421
"University of California, Berkeley",Bus Sys Anl 4,122631,122631
"University of California, Berkeley",Head Coach 5,138269,138269
"University of California, Los Angeles",Pat Comm Repr,35103,36067
"University of California, Los Angeles",Gsr-Partial Fee Rem,32483,32483
"University of California, Los Angeles",HS Clin Instr-Hcomp,38500,213958
"University of California, Los Angeles",Hosp Blank Ast 3,23749,24180
"University of California, San Francisco",Pharmacist 5,205125,215243
"University of California, Riverside",Stdt 2,2820,2924
"University of California, San Diego",Postdoc-Employee,37157,37157
"University of California, San Diego",Stdt 3,928,928
"University of California, Santa Cruz",Reader-Non Gship,1274,1274
"University of California, Berkeley",SRA 3,84712,84712
"University of California, Riverside",Gsr-Partial Fee Rem,36691,36691
"University of California, Berkeley",Postdoc-Employee,36360,36360
"University of California, Los Angeles",EHS Spec 3,78035,78035
"University of California, Los Angeles",Dir Ast,60888,60888
"University of California, Irvine",Case Mgr Ex,77822,100214
"University of California, Riverside",Tut-Non Gship,3940,3940
"University of California, Los Angeles",Nurse Pd,26256,26256
"University of California, Berkeley",HR Generalist 3,79124,79624
"University of California, San Francisco",Postdoc-Employee,69260,69260
"University of California, Berkeley",Stdt 2,2284,2284
"University of California, Irvine",Ambul Care Admstn Mgr 2,141403,163733
"University of California, Davis",Police Ofcr,71601,82009
"University of California, San Diego",Stdt 3,598,600
"University of California, Los Angeles",Admin Anl Prn 1,65178,65178
"University of California, Irvine",Stdt Researcher,548,548
"University of California, Los Angeles",Teacher-Unex-Contract Yr,0,500
"University of California, San Diego",Stdt 3,2828,2828
"University of California, Riverside",EHS Spec 4,98569,102035
"University of California, Berkeley",Ath Trainer 3,87364,87364
"University of California, Los Angeles",Recall Faculty,82345,82345
